X_ActualPosition,X_ActualVelocity,X_ActualAcceleration,X_SetPosition,X_SetVelocity,X_SetAcceleration,X_CurrentFeedback,X_DCBusVoltage,X_OutputCurrent,X_OutputVoltage,X_OutputPower,Y_ActualPosition,Y_ActualVelocity,Y_ActualAcceleration,Y_SetPosition,Y_SetVelocity,Y_SetAcceleration,Y_CurrentFeedback,Y_DCBusVoltage,Y_OutputCurrent,Y_OutputVoltage,Y_OutputPower,Z_ActualPosition,Z_ActualVelocity,Z_ActualAcceleration,Z_SetPosition,Z_SetVelocity,Z_SetAcceleration,Z_CurrentFeedback,Z_DCBusVoltage,Z_OutputCurrent,Z_OutputVoltage,S_ActualPosition,S_ActualVelocity,S_ActualAcceleration,S_SetPosition,S_SetVelocity,S_SetAcceleration,S_CurrentFeedback,S_DCBusVoltage,S_OutputCurrent,S_OutputVoltage,S_OutputPower,S_SystemInertia,M_CURRENT_PROGRAM_NUMBER,M_sequence_number,M_CURRENT_FEEDRATE,Machining_Process
202,4.0,4.0,202,4.0,4.0,0.18,0.0207,329.0,2.77,-1.42e-06,162.0,3.975,-2.25,162.0,4.0,4.0,0.539,0.0167,328.0,1.84,6.43e-07,123.0,4.0,4.0,123.0,4.0,4.0,0,0,0,0,-357.0,4.001,4.25,-357.0,4.0,4.0,0.524,2.74e-19,329,0.0,6.96e-07,16,1,0,50,Starting
202,-6.8,-346.0,202,-9.6,-354.0,-10.9,0.186,328.0,23.3,0.00448,162.0,-15.8,-746.0,161.0,-20.6,-643.0,-14.5,0.281,325.0,37.8,0.0126,123.0,-16.3,-708.0,122.0,-21.6,-670.0,0,0,0,0,-357.0,4.0,4.25,-357.0,4.0,4.0,-0.288,2.74e-19,328,0.0,-5.27e-07,16,1,4,50,Prep
200,-13.8,-2.25,200,-13.9,3.9999046,-8.59,0.14,328.0,30.6,0.00533,158.0,-28.5,4.0,158.0,-28.3,3.9999046,-7.79,0.139,327.0,49.4,0.00943,119.0,-29.7,41.5,119.0,-29.7,3.9999046,0,0,0,0,-357.0,4.0,3.562,-357.0,4.0,4.0,0.524,2.74e-19,328,0.0,9.1e-07,16,1,7,50,Prep
198,-14.0,4.0,198,-13.9,3.9999046,-6.11,0.13,327.0,30.3,0.00489,155.0,-28.6,-58.5,155.0,-28.3,3.9999046,-8.13,0.156,325.0,47.6,0.0105,116.0,-29.7,-2.25,116.0,-29.7,4.0,0,0,0,0,-357.0,3.999,3.75,-357.0,4.0,4.0,-0.18,2.74e-19,328,0.0,1.07e-06,16,1,7,50,Prep
197,-13.9,-14.8,196,-13.9,4.0000954,-5.7,0.114,328.0,30.5,0.00425,152.0,-28.0,142.0,152.0,-28.3,4.0000954,-13.8,0.202,326.0,47.1,0.0135,113.0,-29.6,22.8,112.0,-29.7,4.0,0,0,0,0,-357.0,4.0,3.812,-357.0,4.0,4.0,0.226,2.74e-19,328,0.0,1.96e-06,16,1,7,50,Prep
195,-13.6,85.2,195,-13.9,4.000191,-5.85,0.128,328.0,30.9,0.00474,149.0,-28.4,-8.5,148.0,-28.3,4.0,-9.78,0.166,326.0,49.6,0.0113,109.0,-29.7,-2.25,109.0,-29.7,4.0000954,0,0,0,0,-357.0,4.0,4.0,-357.0,4.0,4.0,0.821,2.74e-19,328,0.0,0.0,16,1,7,50,Prep
193,-13.9,-2.25,193,-13.9,4.0000954,-5.84,0.0955,328.0,29.3,0.00345,145.0,-28.3,85.2,145.0,-28.3,3.9999046,-8.56,0.179,326.0,50.0,0.0124,106.0,-29.5,66.5,106.0,-29.7,4.0000954,0,0,0,0,-357.0,4.00075,3.9375,-357.0,4.0,4.0,0.523,2.74e-19,328,0.0,3.79e-06,16,1,2,50,Prep
191,-13.8,54.0,191,-13.9,3.999809,-7.31,0.117,327.0,29.1,0.00441,142.0,-28.3,54.0,142.0,-28.3,3.9999046,-8.0,0.185,325.0,50.8,0.0128,102.6,-29.7,22.8,102.3,-29.7,4.0,0,0,0,0,-357.0,4.0,4.0,-357.0,4.0,4.0,-0.288,2.74e-19,328,0.0,0.0,16,1,7,50,Prep
189,-13.9,29.0,189,-13.9,4.0,-7.98,0.113,328.0,29.4,0.00417,139.0,-28.3,41.5,139.0,-28.3,4.0,-9.96,0.154,327.0,49.7,0.0102,99.1,-29.6,22.8,98.8,-29.7,4.0000954,0,0,0,0,-357.0,3.99925,3.812,-357.0,4.0,4.0,-0.0997,2.74e-19,328,0.0,-8.36e-08,16,1,7,50,Prep
188,-13.9,16.5,187,-13.9,3.9999046,-7.44,0.138,328.0,29.8,0.00501,136.0,-28.7,-27.3,136.0,-28.3,4.0,-6.29,0.119,325.0,48.1,0.00784,95.8,-29.7,-33.5,95.6,-29.7,4.0000954,0,0,0,0,-357.0,3.999,4.0,-357.0,4.0,4.0,0.118,2.74e-19,328,0.0,0.0,16,1,7,50,Prep
