X_ActualPosition,X_ActualVelocity,X_ActualAcceleration,X_SetPosition,X_SetVelocity,X_SetAcceleration,X_CurrentFeedback,X_DCBusVoltage,X_OutputCurrent,X_OutputVoltage,X_OutputPower,Y_ActualPosition,Y_ActualVelocity,Y_ActualAcceleration,Y_SetPosition,Y_SetVelocity,Y_SetAcceleration,Y_CurrentFeedback,Y_DCBusVoltage,Y_OutputCurrent,Y_OutputVoltage,Y_OutputPower,Z_ActualPosition,Z_ActualVelocity,Z_ActualAcceleration,Z_SetPosition,Z_SetVelocity,Z_SetAcceleration,Z_CurrentFeedback,Z_DCBusVoltage,Z_OutputCurrent,Z_OutputVoltage,S_ActualPosition,S_ActualVelocity,S_ActualAcceleration,S_SetPosition,S_SetVelocity,S_SetAcceleration,S_CurrentFeedback,S_DCBusVoltage,S_OutputCurrent,S_OutputVoltage,S_OutputPower,S_SystemInertia,M_CURRENT_PROGRAM_NUMBER,M_sequence_number,M_CURRENT_FEEDRATE,Machining_Process
202,4.0,4.0,202,4.0,4.0,0.18,0.0207,329,2.77,-1.42e-06,162.0,3.975,-2.25,162.0,4.0,4.0,0.539,0.0167,328,1.84,6.43e-07,123.0,4.0,4.0,123.0,4.0,4.0,0,0,0,0,-357.0,4.001,4.25,-357.0,4.0,4.0,0.524,2.74e-19,329.0,0.0,6.96e-07,16,1,0,50,Starting
202,-6.8,-346.0,202,-9.6,-354.0,-10.9,0.186,328,23.3,0.004480212523719164,162.0,-15.8,-746.0,161.0,-20.6,-643.0,-14.5,0.281,325,37.8,0.012600597722960152,123.0,-16.3,-708.0,122.0,-21.6,-670.0,0,0,0,0,-357.0,4.0,4.25,-357.0,4.0,4.0,-0.28801366223908914,2.74e-19,328.015559772296,0.0,-5.270249999999999e-07,16,1,4,50,Prep
200,-13.8,-2.25,200,-13.9,3.9999046,-8.59,0.14,328,30.6,0.005330505692599619,158.0,-28.5,4.0,158.0,-28.3,3.9999046,-7.79,0.139,327,49.4,0.00943089468690702,119.0,-29.7,41.5,119.0,-29.7,3.9999046,0,0,0,0,-357.0,4.0,3.562,-357.0,4.0,4.0,0.524049715370019,2.74e-19,328.031119544592,0.0,9.100863377609107e-07,16,1,7,50,Prep
198,-14.0,4.0,198,-13.9,3.9999046,-6.11,0.13,327,30.3,0.004890695920303606,155.0,-28.6,-58.5,155.0,-28.3,3.9999046,-8.13,0.156,325,47.6,0.010501494307400381,116.0,-29.7,-2.25,116.0,-29.7,4.0,0,0,0,0,-357.0,3.999,3.75,-357.0,4.0,4.0,-0.18002561669829223,2.74e-19,328.04667931688806,0.0,1.0701522770398482e-06,16,1,7,50,Prep
197,-13.9,-14.8,196,-13.9,4.0000954,-5.7,0.114,328,30.5,0.0042508064516129035,152.0,-28.0,142.0,152.0,-28.3,4.0000954,-13.8,0.202,326,47.1,0.013502561669829223,113.0,-29.6,22.8,112.0,-29.7,4.0,0,0,0,0,-357.0,4.0,3.812,-357.0,4.0,4.0,0.2260428842504744,2.74e-19,328.06223908918406,0.0,1.9603719165085388e-06,16,1,7,50,Prep
195,-13.6,85.2,195,-13.9,4.000191,-5.85,0.128,328,30.9,0.004741124288425048,149.0,-28.4,-8.5,148.0,-28.3,4.0,-9.78,0.166,326,49.6,0.011302680265654648,109.0,-29.7,-2.25,109.0,-29.7,4.0000954,0,0,0,0,-357.0,4.0,4.0,-357.0,4.0,4.0,0.821194734345351,2.74e-19,328.07779886148006,0.0,0.0,16,1,7,50,Prep
193,-13.9,-2.25,193,-13.9,4.0000954,-5.84,0.0955,328,29.3,0.003450981973434535,145.0,-28.3,85.2,145.0,-28.3,3.9999046,-8.56,0.179,326,50.0,0.012403529411764706,106.0,-29.5,66.5,106.0,-29.7,4.0000954,0,0,0,0,-357.0,4.00075,3.9375,-357.0,4.0,4.0,0.5231488614800759,2.74e-19,328.09335863377606,0.0,3.7910787476280835e-06,16,1,2,50,Prep
191,-13.8,54.0,191,-13.9,3.999809,-7.31,0.117,327,29.1,0.004411464421252371,142.0,-28.3,54.0,142.0,-28.3,3.9999046,-8.0,0.185,325,50.8,0.012804250474383301,102.6,-29.7,22.8,102.3,-29.7,4.0,0,0,0,0,-357.0,4.0,4.0,-357.0,4.0,4.0,-0.28809563567362423,2.74e-19,328.10891840607206,0.0,0.0,16,1,7,50,Prep
189,-13.9,29.0,189,-13.9,4.0,-7.98,0.113,328,29.4,0.004171582542694498,139.0,-28.3,41.5,139.0,-28.3,4.0,-9.96,0.154,327,49.7,0.010203870967741937,99.1,-29.6,22.8,98.8,-29.7,4.0000954,0,0,0,0,-357.0,3.99925,3.812,-357.0,4.0,4.0,-0.09973783681214422,2.74e-19,328.1244781783682,0.0,-8.363172675521822e-08,16,1,7,50,Prep
188,-13.9,16.5,187,-13.9,3.9999046,-7.44,0.138,328,29.8,0.0050121389943074005,136.0,-28.7,-27.3,136.0,-28.3,4.0,-6.29,0.119,325,48.1,0.00784334724857685,95.8,-29.7,-33.5,95.6,-29.7,4.0000954,0,0,0,0,-357.0,3.999,4.0,-357.0,4.0,4.0,0.11805037950664136,2.74e-19,328.1400379506642,0.0,0.0,16,1,7,50,Prep
